name,gender,nom_category,year
Murray Schisgal,male,"Writing, Original Screenplay",1983
Douglas Day Stewart,male,"Writing, Original Screenplay",1983
Earl W. Wallace,male,"Writing, Original Screenplay",1986
Ron Nyswaner,male,"Writing, Original Screenplay",1994
Ennio de Concini,male,"Writing, Original Screenplay",1963
Heinz Herald,male,"Writing, Original Screenplay",1941
Peter Stone,male,"Writing, Original Screenplay",1965
Alan Ball,male,"Writing, Original Screenplay",2000
Norman Wexler,male,"Writing, Original Screenplay",1971
John Sayles,male,"Writing, Original Screenplay",1993
John Sayles,male,"Writing, Original Screenplay",1997
Walter Bernstein,male,"Writing, Original Screenplay",1977
Jean-Louis Richard,male,"Writing, Original Screenplay",1975
Charles McKeown,male,"Writing, Original Screenplay",1986
Enrico Medioli,male,"Writing, Original Screenplay",1970
Joel Cohen,male,"Writing, Original Screenplay",1996
Richard Murphy,male,"Writing, Original Screenplay",1954
Robert Kaufman,male,"Writing, Original Screenplay",1968
Sam Rolfe,male,"Writing, Original Screenplay",1954
Adolfo Franci,male,"Writing, Original Screenplay",1948
Arnold Schulman,male,"Writing, Original Screenplay",1964
Quentin Tarantino,male,"Writing, Original Screenplay",2010
Quentin Tarantino,male,"Writing, Original Screenplay",2013
Quentin Tarantino,male,"Writing, Original Screenplay",1995
Christopher Nolan,male,"Writing, Original Screenplay",2011
Christopher Nolan,male,"Writing, Original Screenplay",2002
Ugo Pirro,male,"Writing, Original Screenplay",1972
John Steinbeck,male,"Writing, Original Screenplay",1953
Alejandro González Iñárritu,male,"Writing, Original Screenplay",2015
Jim Sheridan,male,"Writing, Original Screenplay",2004
Robert Benton,male,"Writing, Original Screenplay",1978
Robert Benton,male,"Writing, Original Screenplay",1985
Robert Benton,male,"Writing, Original Screenplay",1968
Wolfgang Reinhardt,male,"Writing, Original Screenplay",1963
Jacques Prévert,male,"Writing, Original Screenplay",1947
Sofia Coppola,female,"Writing, Original Screenplay",2004
Guillermo del Toro,male,"Writing, Original Screenplay",2007
Ennio Flaiano,male,"Writing, Original Screenplay",1958
Ennio Flaiano,male,"Writing, Original Screenplay",1964
Ennio Flaiano,male,"Writing, Original Screenplay",1962
Nancy Meyers,female,"Writing, Original Screenplay",1981
Lawrence Kasdan,male,"Writing, Original Screenplay",1984
Andrew L. Stone,male,"Writing, Original Screenplay",1957
William Rose,male,"Writing, Original Screenplay",1955
William Rose,male,"Writing, Original Screenplay",1957
William Rose,male,"Writing, Original Screenplay",1968
William Goldman,male,"Writing, Original Screenplay",1970
Gladys Lehman,female,"Writing, Original Screenplay",1945
Terence Rattigan,male,"Writing, Original Screenplay",1953
Gary Ross,male,"Writing, Original Screenplay",1989
Gary Ross,male,"Writing, Original Screenplay",1994
Robert Moresco,male,"Writing, Original Screenplay",2006
William Nicholson,male,"Writing, Original Screenplay",2001
Steve Tesich,male,"Writing, Original Screenplay",1980
Marc Norman,male,"Writing, Original Screenplay",1999
Lamar Trotti,male,"Writing, Original Screenplay",1945
David Franzoni,male,"Writing, Original Screenplay",2001
Don Hartman,male,"Writing, Original Screenplay",1943
Frank Pierson,male,"Writing, Original Screenplay",1976
Garson Kanin,male,"Writing, Original Screenplay",1948
Garson Kanin,male,"Writing, Original Screenplay",1953
Garson Kanin,male,"Writing, Original Screenplay",1951
Terry George,male,"Writing, Original Screenplay",2005
Paul Henning,male,"Writing, Original Screenplay",1962
Harold Jacob Smith,male,"Writing, Original Screenplay",1959
Harry Kurnitz,male,"Writing, Original Screenplay",1946
Walon Green,male,"Writing, Original Screenplay",1970
Jim Capobianco,male,"Writing, Original Screenplay",2008
Maurice Richlin,male,"Writing, Original Screenplay",1960
Maurice Richlin,male,"Writing, Original Screenplay",1960
Paul Jarrico,male,"Writing, Original Screenplay",1942
Paul Tamasy,male,"Writing, Original Screenplay",2011
John Gatins,male,"Writing, Original Screenplay",2013
Ivan Goff,male,"Writing, Original Screenplay",1958
Penelope Gilliatt,female,"Writing, Original Screenplay",1972
Sydney Boehm,male,"Writing, Original Screenplay",1953
Alec Sokolow,male,"Writing, Original Screenplay",1996
Milton Sperling,male,"Writing, Original Screenplay",1956
Virginia Kellogg,female,"Writing, Original Screenplay",1951
E. Max Frye,male,"Writing, Original Screenplay",2015
Myles Connolly,male,"Writing, Original Screenplay",1946
Orville H. Hampton,male,"Writing, Original Screenplay",1965
Harry Chandlee,male,"Writing, Original Screenplay",1942
Barbara Benedek,female,"Writing, Original Screenplay",1984
Harvey Miller,male,"Writing, Original Screenplay",1981
Rick Boyle,male,"Writing, Original Screenplay",1987
George Clooney,male,"Writing, Original Screenplay",2006
Woody Allen,male,"Writing, Original Screenplay",2012
Woody Allen,male,"Writing, Original Screenplay",1993
Woody Allen,male,"Writing, Original Screenplay",1988
Woody Allen,male,"Writing, Original Screenplay",1978
Woody Allen,male,"Writing, Original Screenplay",2006
Woody Allen,male,"Writing, Original Screenplay",1985
Woody Allen,male,"Writing, Original Screenplay",1998
Woody Allen,male,"Writing, Original Screenplay",1980
Woody Allen,male,"Writing, Original Screenplay",1995
Woody Allen,male,"Writing, Original Screenplay",1996
Woody Allen,male,"Writing, Original Screenplay",1991
Woody Allen,male,"Writing, Original Screenplay",1990
